taxon,aoo,eoo
"Poiretia bahiana",68,10728
"Poiretia marginata",20,3959
"Poiretia unifoliolata",20,281
"Pomaria stipularis",96,58062
"Pseudopiptadenia bahiana",148,120308
"Pseudopiptadenia contorta",948,885882
"Pityrocarpa inaequalis",100,12895
"Pseudopiptadenia leptostachya",200,4847614
"Pseudopiptadenia schumanniana",116,100664
"Pseudopiptadenia warmingii",236,1164093
"Pterocarpus monophyllus",32,7477
"Pterocarpus santalinoides",204,6053542
"Pterocarpus ternatus",60,122256
"Pterocarpus villosus",204,854882
"Pterocarpus zehntneri",112,1516999
"Pterogyne nitens",1316,3762899
"Recordoxylon stenopetalum",24,114569
"Rhynchosia leucophylla",36,206801
"Rhynchosia reticulata",136,6725526
"Schnella alata",60,423829
"Schnella anamesa",68,1148227
"Schnella angulosa",292,2507909
"Schnella grazielae",28,7564
"Schnella maximiliani",76,778883
"Schnella microstachya",628,8189966
"Schnella platycalyx",124,2358605
"Schnella radiata",196,4126251
"Schnella riedeliana",52,37313
"Schnella smilacina",144,1040612
"Schnella trichosepala",212,465259
"Sellocharis paradoxa",12,21539
"Senegalia bahiensis",1264,1233326
"Senegalia cearensis",20,41733
"Senegalia giganticarpa",172,3347747
"Senegalia globosa",508,1743776
"Senegalia grandisiliqua",48,1094715
"Senegalia grandistipula",280,2150846
"Senegalia harleyi",172,988677
"Senegalia hatschbachii",56,525152
"Senegalia hoehnei",120,2035301
"Senegalia irwinii",76,1083195
"Senegalia kallunkiae",80,515762
"Senegalia lacerans",224,4456401
"Senegalia langsdorffii",1216,1545595
"Senegalia lasiophylla",300,1594703
"Senegalia latifoliola",4,4
"Senegalia martiusiana",456,5316701
"Senegalia mattogrossensis",60,956395
"Senegalia mikanii",28,2280
"Senegalia paganuccii",180,537898
"Senegalia parviceps",16,5668
"Senegalia piauhiensis",644,882794
"Senegalia pteridifolia",144,1181361
"Senegalia ricoae",8,8
"Senna acuruensis",648,1533254
"Senna acutisepala",48,165368
"Senna affinis",808,2188940
"Senna angulata",500,4207757
"Senna appendiculata",304,1725856
"Senna araucarietorum",236,287571
"Senna aversiflora",420,400097
"Senna bahiensis",12,14
"Senna biglandularis",112,262649
"Senna catingae",240,263552
"Senna cearensis",348,925290
"Senna corifolia",292,443685
"Senna formosa",32,5670
"Senna gardneri",444,1714838
"Senna lechriosperma",172,1502091
"Senna martiana",616,1427781
"Senna organensis",172,120958
"Senna paradictyon",52,4086632
"Senna phlebadenia",240,268464
"Senna pinheiroi",240,154204
"Senna reniformis",560,1062576
"Senna rizzinii",960,1441278
"Senna tenuifolia",80,118235
"Senna trachypus",716,2122097
"Senna tropica",260,1522458
"Staminodianthus rosae",20,314300
"Stryphnodendron adstringens",1488,2617869
"Stylosanthes aurea",68,717663
"Stylosanthes campestris",116,817269
"Stylosanthes debilis",84,188219
"Stylosanthes macrocephala",696,3198130
"Stylosanthes nunoi",32,1292212
"Stylosanthes pilosa",144,1837191
"Swartzia acutifolia",468,1865654
"Swartzia alagoensis",68,34356
"Swartzia alternifoliolata",24,6314
"Swartzia amazonica",8,8
"Swartzia apetala",1720,3451686
"Swartzia arborescens",356,5215762
"Swartzia arenophila",28,909
"Swartzia arumateuana",80,384896
"Swartzia bahiensis",128,100439
"Swartzia capixabensis",8,8
"Swartzia coriaceifolia",8,8
"Swartzia corrugata",80,1191587
"Swartzia curranii",4,4
"Swartzia dipetala",96,217042
"Swartzia discocarpa",20,12067
"Swartzia duckei",44,125342
"Swartzia emarginata",20,129291
"Swartzia euxylophora",12,457
"Swartzia fimbriata",8,8
"Swartzia flaemingii",980,7546816
"Swartzia fraterna",8,8
"Swartzia froesii",8,8
"Swartzia glazioviana",96,683
"Swartzia hilaireana",48,7003
"Swartzia ingens",16,519
"Swartzia ingifolia",132,125830
"Swartzia juruana",4,4
"Swartzia krukovii",12,40918
"Swartzia lamellata",68,30416
"Swartzia lanata",12,746
"Swartzia langsdorffii",284,943592
"Swartzia laurifolia",224,3026081
"Swartzia linharensis",68,36767
"Swartzia longistipitata",96,504555
"Swartzia lucida",136,292898
"Swartzia macrocarpa",128,557133
"Swartzia macrostachya",856,4715170
"Swartzia manausensis",96,273433
"Swartzia mangabalensis",4,4
"Swartzia martii",48,146245
"Swartzia micrantha",24,64026
"Swartzia multijuga",248,2158893
"Swartzia oblata",396,1060709
"Swartzia obscura",76,673168
"Swartzia oedipus",16,86246
"Swartzia oriximinaensis",12,361
"Swartzia parvipetala",152,1485234
"Swartzia pernitida",4,4
"Swartzia pickelii",292,175600
"Swartzia pilulifera",184,322233
"Swartzia pinheiroana",28,268
"Swartzia polita",244,184710
"Swartzia prancei",4,4
"Swartzia prolata",32,1625
"Swartzia psilonema",344,1294492
"Swartzia recurva",452,2517361
"Swartzia revoluta",28,614
"Swartzia riedelii",100,11675
"Swartzia rondoniensis",16,203734
"Swartzia rugosa",12,13662
"Swartzia simplex",752,5274881
"Swartzia submarginata",116,240529
"Swartzia submontana",12,12
"Swartzia thomasii",32,682
"Swartzia tomentifera",100,271753
"Swartzia ulei",156,917189
"Swartzia velutina",20,2631
"Tabaroa caatingicola",40,7611
"Tachigali acrensis",12,25
"Tachigali argyrophylla",8,8
"Tachigali barnebyi",40,1725239
"Tachigali beaurepairei",28,700
"Tachigali candelabrum",12,5530
"Tachigali catingae",8,8
"Tachigali densiflora",488,1563493
"Tachigali denudata",424,657680
"Tachigali duckei",28,1910
"Tachigali friburgensis",100,66813
"Tachigali fusca",8,8
"Tachigali goeldiana",124,2579634
"Tachigali grandistipulata",8,8
"Tachigali hypoleuca",164,248153
"Tachigali leiocalyx",12,563
"Tachigali macropetala",40,103806
"Tachigali macrostachya",16,14446
"Tachigali melanocarpa",64,623425
"Tachigali multijuga",8,8
"Tachigali paratyensis",224,648641
"Tachigali pilgeriana",152,305818
"Tachigali prancei",28,59832
"Tachigali rubiginosa",644,4336421
"Tachigali rugosa",428,762798
"Tachigali schultesiana",4,4
"Tachigali spathulipetala",32,551
"Tachigali urbaniana",36,133768
"Tachigali vulgaris",1612,6040149
"Tephrosia adunca",676,6445177
"Tephrosia egregia",116,80235
"Tephrosia sessiliflora",132,9017552
"Trifolium argentinense",,
"Trischidium limae",28,27360
"Trischidium molle",888,1772997
"Trischidium racemulosum",84,346215
"Vatairea heteroptera",160,642676
"Vataireopsis araroba",60,113208
"Vataireopsis iglesiasii",20,5621
"Vicia pampicola",8,8
"Vicia tephrosioides",,
"Vigna halophila",352,2434589
"Vouacapoua americana",272,1994036
"Vouacapoua pallidior",52,48229
"Zapoteca filipes",60,280713
"Zollernia cowanii",8,8
"Zollernia glabra",532,815593
"Zollernia glaziovii",32,1121
"Zollernia magnifica",32,20216
"Zollernia modesta",132,31827
"Zollernia paraensis",264,5375465
"Zornia afranioi",48,230947
"Zornia cearensis",104,2041877
"Zornia echinocarpa",104,162110
"Zornia flemmingioides",260,243124
"Zornia glaziovii",20,123501
"Zornia harmsiana",76,205221
"Zornia mitziana",12,76
"Zornia ramboiana",192,345387
"Zornia subsessilis",16,87
"Zornia tenuifolia",44,86200
"Zornia virgata",168,814366
"Zygia odoratissima",8,8
"Zygia racemosa",240,3574651
"Zygia transamazonica",8,8
"Zygia trunciflora",52,81632
