taxon,aoo,eoo
"Calliandra asplenioides",548,167806
"Calliandra bahiana",316,741928
"Calliandra bella",196,823094
"Calliandra calycina",292,202756
"Calliandra carrascana",20,10712
"Calliandra depauperata",552,773146
"Calliandra duckei",8,8
"Calliandra erubescens",144,45586
"Calliandra fasciculata",308,455663
"Calliandra foliolosa",400,941781
"Calliandra gardneri",20,2586
"Calliandra imbricata",4,4
"Calliandra jariensis",20,692
"Calliandra leptopoda",180,291479
"Calliandra linearis",28,2035
"Calliandra macrocalyx",460,583100
"Calliandra santosiana",8,8
"Calliandra semisepulta",48,1226
"Calliandra spinosa",172,578802
"Calliandra subspicata",56,208445
"Calliandra umbellifera",116,298439
"Calliandra virgata",148,253269
"Calliandra viscidula",244,36755
"Canavalia parviflora",436,1557376
"Canavalia picta",368,1429514
"Cassia leptophylla",352,3609510
"Cassia rubriflora",36,3325
"Cenostigma bracteosum",1456,3493427
"Cenostigma laxiflorum",296,346414
"Cenostigma microphyllum",868,1643817
"Cenostigma nordestinum",540,2977592
"Cenostigma pyramidale",2700,3123596
"Cenostigma tocantinum",196,3162006
"Centrolobium paraense",36,22570
"Centrolobium sclerophyllum",216,849538
"Centrolobium tomentosum",724,3084236
"Centrosema arenarium",620,2154950
"Centrosema bracteosum",304,4754110
"Centrosema carajasense",28,50112
"Centrosema coriaceum",620,978654
"Centrosema dasyanthum",72,101974
"Centrosema jaraguaense",8,8
"Centrosema pubescens",648,7755205
"Centrosema sagittatum",408,5406131
"Centrosema teresae",,
"Cerradicola decumbens",404,1196524
"Chamaecrista acosmifolia",148,1195196
"Chamaecrista altoana",20,152786
"Chamaecrista amabilis",44,26536
"Chamaecrista amiciella",336,609959
"Chamaecrista amorimii",20,10427
"Chamaecrista anamariae",28,346
"Chamaecrista aristata",40,7064
"Chamaecrista aspleniifolia",76,104164
"Chamaecrista atroglandulosa",8,8
"Chamaecrista aurivilla",84,20578
"Chamaecrista bahiae",400,3841441
"Chamaecrista barbata",200,491784
"Chamaecrista belemii",260,2735257
"Chamaecrista blanchetii",724,816078
"Chamaecrista brachyrachis",144,219941
"Chamaecrista brachystachya",520,534797
"Chamaecrista bracteolata",60,7666
"Chamaecrista brevicalyx",304,2551116
"Chamaecrista caiapo",8,8
"Chamaecrista campicola",72,52696
"Chamaecrista caracensis",12,136
"Chamaecrista cardiostegia",80,267249
"Chamaecrista carobinha",60,249822
"Chamaecrista catapodia",12,160
"Chamaecrista cathartica",1328,1708625
"Chamaecrista catiarae",8,8
"Chamaecrista catolesensis",16,6
"Chamaecrista cavalcantina",52,753734
"Chamaecrista choriophylla",120,151596
"Chamaecrista ciliolata",156,502061
"Chamaecrista conferta",676,740808
"Chamaecrista confertiformis",188,34412
